short,200.00002730126812,100.00002730126813,closed
short,400.00001005942846,199.99998275816034,closed
short,799.9999511490621,399.99994108963364,closed
short,1599.9999051699904,799.9999540209283,closed
short,3199.9997988434116,1599.9998936734212,closed
short,6399.9995861902535,3199.9997873468424,closed
short,12799.999178125645,6399.999591935391,closed
short,25599.998336132798,12799.999158007153,closed
short,51199.99657743065,25599.998241297846,closed
short,102399.99304278492,51199.99646535428,closed
